workload_id,algorithm,arrival_pattern,burst_pattern,n_processes,arrival_mean,arrival_std,arrival_range,burst_mean,burst_std,burst_min,burst_max,burst_sum,burst_coefficient_of_variation,workload_density,short_job_ratio,arrival_clustering_score,burst_variability_index,priority_mean,priority_std,priority_min,priority_max,priority_span,algo_FCFS,algo_SJF_NP,algo_SRTF,algo_PRIORITY,algo_RR,is_preemptive,rr_quantum,avg_waiting,avg_turnaround,avg_response,cost
0,FCFS,ordered,medium,9,8.11111111111111,5.506449641495053,20.0,7.666666666666667,1.632993161855452,5.0,10.0,69.0,0.21299910804031993,3.2857142857142856,0.0,0.7377881123097594,0.2721655269759087,5.555555555555555,2.5867659392939593,2.0,9.0,7.0,1,0,0,0,0,0,0,20.444444444444443,28.11111111111111,20.444444444444443,22.744444444444444
0,SJF_NP,ordered,medium,9,8.11111111111111,5.506449641495053,20.0,7.666666666666667,1.632993161855452,5.0,10.0,69.0,0.21299910804031993,3.2857142857142856,0.0,0.7377881123097594,0.2721655269759087,5.555555555555555,2.5867659392939593,2.0,9.0,7.0,0,1,0,0,0,0,0,18.88888888888889,26.555555555555557,18.88888888888889,21.18888888888889
0,SRTF,ordered,medium,9,8.11111111111111,5.506449641495053,20.0,7.666666666666667,1.632993161855452,5.0,10.0,69.0,0.21299910804031993,3.2857142857142856,0.0,0.7377881123097594,0.2721655269759087,5.555555555555555,2.5867659392939593,2.0,9.0,7.0,0,0,1,0,0,1,0,18.88888888888889,26.555555555555557,18.88888888888889,21.18888888888889
0,PRIORITY,ordered,medium,9,8.11111111111111,5.506449641495053,20.0,7.666666666666667,1.632993161855452,5.0,10.0,69.0,0.21299910804031993,3.2857142857142856,0.0,0.7377881123097594,0.2721655269759087,5.555555555555555,2.5867659392939593,2.0,9.0,7.0,0,0,0,1,0,0,0,20.11111111111111,27.77777777777778,20.11111111111111,22.41111111111111
0,RR,ordered,medium,9,8.11111111111111,5.506449641495053,20.0,7.666666666666667,1.632993161855452,5.0,10.0,69.0,0.21299910804031993,3.2857142857142856,0.0,0.7377881123097594,0.2721655269759087,5.555555555555555,2.5867659392939593,2.0,9.0,7.0,0,0,0,0,1,1,2,35.22222222222222,42.888888888888886,6.444444444444445,31.766666666666662
1,FCFS,scattered,short,5,11.2,3.249615361854384,9.0,2.8,0.7483314773547882,2.0,4.0,14.0,0.2672612418169739,1.4,1.0,0.6750384638145616,0.2494438257849294,5.2,2.4819347291981715,1.0,8.0,7.0,1,0,0,0,0,0,0,1.8,4.6,1.8,2.6399999999999997
1,SJF_NP,scattered,short,5,11.2,3.249615361854384,9.0,2.8,0.7483314773547882,2.0,4.0,14.0,0.2672612418169739,1.4,1.0,0.6750384638145616,0.2494438257849294,5.2,2.4819347291981715,1.0,8.0,7.0,0,1,0,0,0,0,0,1.4,4.2,1.4,2.2399999999999998
1,SRTF,scattered,short,5,11.2,3.249615361854384,9.0,2.8,0.7483314773547882,2.0,4.0,14.0,0.2672612418169739,1.4,1.0,0.6750384638145616,0.2494438257849294,5.2,2.4819347291981715,1.0,8.0,7.0,0,0,1,0,0,1,0,1.4,4.2,1.4,2.2399999999999998
1,PRIORITY,scattered,short,5,11.2,3.249615361854384,9.0,2.8,0.7483314773547882,2.0,4.0,14.0,0.2672612418169739,1.4,1.0,0.6750384638145616,0.2494438257849294,5.2,2.4819347291981715,1.0,8.0,7.0,0,0,0,1,0,0,0,1.4,4.2,1.4,2.2399999999999998
1,RR,scattered,short,5,11.2,3.249615361854384,9.0,2.8,0.7483314773547882,2.0,4.0,14.0,0.2672612418169739,1.4,1.0,0.6750384638145616,0.2494438257849294,5.2,2.4819347291981715,1.0,8.0,7.0,0,0,0,0,1,1,2,3.0,5.8,0.8,3.4000000000000004
2,FCFS,clustered,short,5,10.6,0.7999999999999999,2.0,2.2,1.16619037896906,1.0,4.0,11.0,0.5300865356540788,3.6666666666666665,1.0,0.7333333333333334,0.291547594742265,6.6,2.0591260281974,4.0,10.0,6.0,1,0,0,0,0,0,0,4.2,6.4,4.2,4.859999999999999
2,SJF_NP,clustered,short,5,10.6,0.7999999999999999,2.0,2.2,1.16619037896906,1.0,4.0,11.0,0.5300865356540788,3.6666666666666665,1.0,0.7333333333333334,0.291547594742265,6.6,2.0591260281974,4.0,10.0,6.0,0,1,0,0,0,0,0,3.0,5.2,3.0,3.66
2,SRTF,clustered,short,5,10.6,0.7999999999999999,2.0,2.2,1.16619037896906,1.0,4.0,11.0,0.5300865356540788,3.6666666666666665,1.0,0.7333333333333334,0.291547594742265,6.6,2.0591260281974,4.0,10.0,6.0,0,0,1,0,0,1,0,2.6,4.8,2.2,3.18
