workload_id,arrival_pattern,burst_pattern,n_processes,arrival_mean,arrival_std,arrival_range,burst_mean,burst_std,burst_min,burst_max,burst_sum,burst_coefficient_of_variation,workload_density,short_job_ratio,arrival_clustering_score,burst_variability_index,priority_mean,priority_std,priority_min,priority_max,priority_span,best_algorithm
0,ordered,medium,9,8.11111111111111,5.506449641495053,20.0,7.666666666666667,1.632993161855452,5.0,10.0,69.0,0.21299910804031993,3.2857142857142856,0.0,0.7377881123097594,0.2721655269759087,5.555555555555555,2.5867659392939593,2.0,9.0,7.0,SJF_NP
1,scattered,short,5,11.2,3.249615361854384,9.0,2.8,0.7483314773547882,2.0,4.0,14.0,0.2672612418169739,1.4,1.0,0.6750384638145616,0.2494438257849294,5.2,2.4819347291981715,1.0,8.0,7.0,SJF_NP
2,clustered,short,5,10.6,0.7999999999999999,2.0,2.2,1.16619037896906,1.0,4.0,11.0,0.5300865356540788,3.6666666666666665,1.0,0.7333333333333334,0.291547594742265,6.6,2.0591260281974,4.0,10.0,6.0,SRTF
3,scattered,mixed,10,8.1,5.7,20.0,9.0,6.04979338490167,1.0,18.0,90.0,0.6721992649143856,4.285714285714286,0.4,0.7285714285714285,0.3360996324945372,5.8,2.4413111231467406,2.0,10.0,8.0,SRTF
4,mixed,mixed,5,9.2,4.445222154178573,12.0,10.2,5.075431016179808,6.0,20.0,51.0,0.49759127604727615,3.923076923076923,0.0,0.6580598342939559,0.3383620677453205,5.4,3.3823069050575527,2.0,10.0,8.0,SRTF
5,ordered,medium,12,9.333333333333334,5.169354139756941,17.0,8.166666666666666,1.724013405464767,5.0,10.0,98.0,0.21110368227595877,5.444444444444445,0.0,0.7128136589023921,0.28733556757746115,6.666666666666667,2.4267032964268394,3.0,10.0,7.0,SJF_NP
6,tight,medium,8,9.25,0.6614378277661477,2.0,6.75,1.5612494995995996,5.0,10.0,54.0,0.23129622212863754,18.0,0.0,0.7795207240779508,0.2602082499332666,6.375,2.341874249399399,3.0,10.0,7.0,SJF_NP
7,ordered,short,10,12.5,5.5362442142665635,17.0,2.6,1.2806248474865698,1.0,4.0,26.0,0.49254801807462373,1.4444444444444444,1.0,0.6924308769851909,0.32015621187164245,5.8,2.749545416973504,2.0,10.0,8.0,SRTF
8,scattered,short,6,8.833333333333334,4.6696419087073,15.0,2.3333333333333335,1.1055415967851334,1.0,4.0,14.0,0.4738035412762842,0.875,1.0,0.7081473807057937,0.27638539919628335,7.666666666666667,2.7487370837451075,3.0,10.0,7.0,FCFS
9,scattered,medium,12,9.166666666666666,6.242773600109348,19.0,7.166666666666667,1.51840559652405,5.0,9.0,86.0,0.21187054832262966,4.3,0.0,0.6878613199945326,0.30368111930481,5.583333333333333,2.396467307424734,2.0,10.0,8.0,SRTF
10,scattered,mixed,12,10.25,5.182100603680584,18.0,11.5,5.619905100029122,2.0,19.0,138.0,0.4886873999600378,7.2631578947368425,0.08333333333333333,0.7272578629641797,0.31221695000161787,6.416666666666667,2.5967394084804805,2.0,10.0,8.0,SRTF
11,ordered,short,12,11.916666666666666,5.024246764994287,16.0,3.0,1.224744871391589,1.0,4.0,36.0,0.4082482903277802,2.1176470588235294,1.0,0.7044560726473948,0.30618621784789724,5.916666666666667,3.0402393911591163,1.0,10.0,9.0,SRTF
12,tight,medium,8,19.5,0.5,1.0,6.375,1.653594569415369,5.0,10.0,51.0,0.2593873833970167,25.5,0.0,0.75,0.2755990949025615,5.75,2.9895651857753496,2.0,10.0,8.0,SJF_NP
13,mixed,mixed,10,7.7,4.605431575867782,14.0,12.5,5.6964901474504455,5.0,20.0,125.0,0.4557192117595781,8.333333333333334,0.0,0.6929712282754812,0.35603063421565284,5.3,3.1,1.0,10.0,9.0,SRTF
14,mixed,mixed,6,7.666666666666667,3.9440531887330774,13.0,13.833333333333334,5.550275268448904,2.0,18.0,83.0,0.40122471817212135,5.928571428571429,0.16666666666666666,0.7182819150904944,0.32648678049699437,5.166666666666667,2.4776781245530843,2.0,10.0,8.0,SRTF
15,clustered,mixed,6,8.833333333333334,3.6704525909242065,10.0,7.666666666666667,1.1055415967851332,6.0,9.0,46.0,0.14420107782273026,4.181818181818182,0.0,0.666322491734163,0.2763853991962833,5.833333333333333,3.624760528488591,1.0,10.0,9.0,SJF_NP
16,tight,short,7,6.714285714285714,0.6998542122237652,2.0,2.857142857142857,0.8329931278350429,2.0,4.0,20.0,0.29154759464022334,6.666666666666667,1.0,0.7667152625920782,0.2776643759450143,4.285714285714286,2.249716535431946,1.0,9.0,8.0,SJF_NP
17,clustered,short,8,6.625,2.912795049432761,7.0,2.625,1.2183492931011204,1.0,4.0,21.0,0.46413306386170944,2.625,1.0,0.6359006188209049,0.3045873232752801,6.25,2.436698586202241,2.0,10.0,8.0,SJF_NP
18,scattered,short,12,12.666666666666666,6.289320754704403,19.0,2.1666666666666665,1.0671873729054748,1.0,4.0,26.0,0.4925480180367355,1.3,1.0,0.6855339622647798,0.2667968432263687,5.166666666666667,2.9674156357941426,1.0,10.0,9.0,SRTF
19,scattered,long,11,10.545454545454545,5.883159886313977,17.0,14.363636363636363,2.3460887091934435,11.0,18.0,158.0,0.16333528986918475,8.777777777777779,0.0,0.673157784093668,0.29326108864918043,5.545454545454546,3.4473609501560984,1.0,10.0,9.0,SJF_NP
20,clustered,mixed,5,7.4,9.068627239003707,19.0,12.4,6.437390775772433,2.0,19.0,62.0,0.5191444173591361,3.1,0.2,0.5465686380498147,0.35763282087624626,4.2,3.6551333764994136,1.0,10.0,9.0,SRTF
